City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,thompson,55.7435,-97.8558,9.76,78,21,0.99,CA,1691647656
1,vila velha,-20.3297,-40.2925,22.97,92,75,3.6,BR,1691647657
2,stanley,54.868,-1.6985,16.82,92,75,1.03,GB,1691647515
3,yemel'yanovo,56.1681,92.6767,24.49,50,40,2.0,RU,1691647658
4,port alfred,-33.5906,26.891,15.1,89,0,1.34,ZA,1691647658
5,hadibu,12.65,54.0333,27.13,73,99,11.18,YE,1691647659
6,touros,-5.1989,-35.4608,22.05,90,30,5.64,BR,1691647564
7,chonchi,-42.6128,-73.8092,8.95,93,99,3.62,CL,1691647660
8,dombarovskiy,50.7587,59.5386,24.95,43,56,9.21,RU,1691647660
9,khoyniki,51.8911,29.9552,18.04,57,82,2.45,BY,1691647661
10,behshahr,36.6923,53.5526,32.97,24,0,3.39,IR,1691647661
11,el calafate,-50.3408,-72.2768,1.3,87,66,1.28,AR,1691647651
12,port mathurin,-19.6833,63.4167,22.5,74,5,4.45,MU,1691647662
13,malabrigo,-29.3464,-59.9696,14.64,96,6,3.64,AR,1691647663
14,plouzane,48.3833,-4.6167,17.18,94,100,3.09,FR,1691647663
15,vorkuta,67.5,64.0,16.68,53,38,6.09,RU,1691647664
16,bilibino,68.0546,166.4372,15.37,45,98,2.6,RU,1691647664
17,edinburgh of the seven seas,-37.0676,-12.3116,10.2,64,78,8.91,SH,1691647665
18,broken hill,-31.95,141.4333,16.61,36,1,3.35,AU,1691647665
19,narvik,68.4384,17.4272,17.43,72,37,2.13,NO,1691647666
20,taoudenni,22.6783,-3.9836,34.78,29,32,1.95,ML,1691647666
21,adamstown,-25.066,-130.1015,19.84,51,92,8.92,PN,1691647667
22,kapa'a,22.0752,-159.319,27.18,80,75,8.75,US,1691647668
23,qingyuan,23.7,113.0333,32.99,60,99,1.72,CN,1691647668
24,blackmans bay,-43.0167,147.3167,13.18,61,61,4.53,AU,1691647669
25,la gi,10.6667,107.7833,30.55,71,66,5.87,VN,1691647669
26,grytviken,-54.2811,-36.5092,-5.56,90,94,1.53,GS,1691647670
27,afaahiti,-17.75,-149.2833,22.46,71,89,6.68,PF,1691647670
28,udachny,66.4167,112.4,20.25,59,91,7.19,RU,1691647670
29,tralee,52.2704,-9.7026,16.73,94,52,3.73,IE,1691647385
30,naze,28.3667,129.4833,27.58,78,65,4.87,JP,1691647671
31,anadyr,64.75,177.4833,14.28,67,40,4.0,RU,1691647672
32,castillos,-34.1667,-53.8333,15.26,90,100,4.58,UY,1691647672
33,swakopmund,-22.6833,14.5333,13.32,91,85,1.34,NA,1691647673
34,ust-nera,64.5667,143.2,22.33,37,5,1.03,RU,1691647673
35,bredasdorp,-34.5322,20.0403,10.71,79,0,2.3,ZA,1691647674
36,puri,19.8,85.85,33.29,62,77,4.18,IN,1691647674
37,patterson,37.4716,-121.1297,22.97,73,0,1.68,US,1691647505
38,port-aux-francais,-49.35,70.2167,4.3,86,92,11.49,TF,1691647675
39,okha,53.5739,142.9478,15.23,78,90,4.54,RU,1691647676
40,revda,56.801,59.9303,22.24,61,90,3.33,RU,1691647676
41,port elizabeth,-33.918,25.5701,13.16,94,0,4.63,ZA,1691647561
42,longyearbyen,78.2186,15.6401,11.91,54,0,6.69,SJ,1691647677
43,ratnagiri,16.9833,73.3,28.61,71,98,2.96,IN,1691647677
44,tura,25.5198,90.2201,29.2,77,94,3.13,IN,1691647678
45,san antonio de pale,-1.4014,5.6325,23.74,81,100,4.75,GQ,1691647678
46,carutapera,-1.195,-46.02,24.63,84,44,3.17,BR,1691647398
47,invercargill,-46.4,168.35,2.87,86,31,0.96,NZ,1691647679
48,hailar,49.2,119.7,24.86,52,59,1.99,CN,1691647680
49,tazovsky,67.4667,78.7,13.89,65,91,9.78,RU,1691647680
50,vadso,70.0744,29.7487,23.49,68,0,2.57,NO,1691647681
51,esquel,-42.9,-71.3167,5.12,88,98,2.66,AR,1691647681
52,east london,-33.0153,27.9116,16.43,74,2,7.05,ZA,1691647682
53,holualoa,19.6228,-155.9522,25.91,78,40,3.09,US,1691647672
54,hithadhoo,-0.6,73.0833,27.63,73,50,3.28,MV,1691647388
55,kone,-21.0595,164.8658,18.51,55,32,6.0,NC,1691647683
56,fortuna,40.5982,-124.1573,17.51,93,100,0.0,US,1691647684
57,iqaluit,63.7506,-68.5145,4.85,93,100,2.57,CA,1691647471
58,fale old settlement,-9.3852,-171.2468,28.31,78,95,6.58,TK,1691647685
59,lyozna,55.0249,30.7956,16.76,64,84,3.21,BY,1691647686
60,christchurch,-43.5333,172.6333,7.11,76,100,4.63,NZ,1691647575
61,whitehorse,60.7161,-135.0538,16.56,48,91,0.45,CA,1691647687
62,srandakan,-7.9386,110.2506,27.28,61,21,6.59,ID,1691647688
63,anakapalle,17.6833,83.0167,34.44,48,80,2.66,IN,1691647497
64,hermanus,-34.4187,19.2345,11.0,68,0,3.26,ZA,1691647689
65,mil'kovo,55.6078,37.7956,20.29,60,58,3.31,RU,1691647689
66,pacific grove,36.6177,-121.9166,15.45,92,100,2.68,US,1691647499
67,kudat,6.8837,116.8477,30.96,63,79,6.44,MY,1691647690
68,waitangi,-43.9535,-176.5597,8.79,68,4,3.17,NZ,1691647691
69,sinabang,2.4803,96.3801,25.8,85,100,1.99,ID,1691647691
70,semnan,35.5729,53.3971,30.32,14,0,2.07,IR,1691647692
71,puerto ayora,-0.7393,-90.3518,24.19,94,82,1.34,EC,1691647693
72,uliastay,47.7417,96.8444,21.59,45,80,2.9,MN,1691647693
73,petropavlovsk-kamchatsky,53.0452,158.6483,18.33,68,40,6.0,RU,1691647694
74,vilhena,-12.7406,-60.1458,21.81,44,3,1.27,BR,1691647694
75,georgetown,5.4112,100.3354,29.99,75,20,4.63,MY,1691647572
76,papatowai,-46.5619,169.4708,2.43,89,43,2.55,NZ,1691647696
77,mount pearl,47.5166,-52.7813,12.4,97,100,9.77,CA,1691647696
78,cavalaire-sur-mer,43.174,6.5272,21.01,78,19,0.45,FR,1691647697
79,hawaiian paradise park,19.5933,-154.9731,25.73,90,100,6.17,US,1691647697
80,tabas,33.5959,56.9244,35.07,15,0,2.18,IR,1691647698
81,mogocha,53.7333,119.7667,25.55,38,100,3.36,RU,1691647698
82,yulinshi,38.2906,109.7494,32.35,42,22,5.95,CN,1691647699
83,baykalovo,57.3981,63.7684,16.02,82,100,4.21,RU,1691647699
84,ancud,-41.8697,-73.8203,10.46,90,99,7.95,CL,1691647700
85,kudahuvadhoo,2.6708,72.8944,26.56,79,100,3.38,MV,1691647700
86,al jawf,29.5,38.75,31.01,23,0,2.49,SA,1691647701
87,saudarkrokur,65.7461,-19.6394,6.26,83,82,3.98,IS,1691647701
88,stephenville,32.2207,-98.2023,33.41,43,40,3.09,US,1691647643
89,brokopondo,4.75,-55.1667,24.77,88,36,3.61,SR,1691647702
90,pandan,14.0453,124.1694,31.62,63,91,2.35,PH,1691647703
91,yarim,14.298,44.3779,19.9,39,96,1.13,YE,1691647704
92,ribeira grande,38.5167,-28.7,20.99,87,25,2.24,PT,1691647704
93,piacabucu,-10.4056,-36.4344,22.56,85,36,3.83,BR,1691647705
94,ushuaia,-54.8,-68.3,3.09,95,97,2.77,AR,1691647706
95,saipan,15.1355,145.701,27.39,100,40,7.2,MP,1691647706
96,kodiak,57.79,-152.4072,11.73,94,100,0.0,US,1691647707
97,puerto natales,-51.7236,-72.4875,0.76,97,89,1.45,CL,1691647707
98,punta arenas,-53.15,-70.9167,4.48,91,94,4.47,CL,1691647642
99,keetmanshoop,-26.5833,18.1333,14.37,22,25,6.57,NA,1691647708
100,betio village,1.358,172.9211,30.02,71,30,2.54,KI,1691647709
101,iskateley,67.6803,53.1512,17.02,60,0,3.04,RU,1691647709
102,st. john's,47.5649,-52.7093,12.86,97,100,9.77,CA,1691647558
103,macapa,0.0389,-51.0664,27.99,89,40,4.12,BR,1691647509
104,west island,-12.1568,96.8225,27.99,69,75,6.69,CC,1691647711
105,aasiaat,68.7098,-52.8699,2.66,93,92,5.25,GL,1691647711
106,kalmunai,7.4167,81.8167,32.21,55,95,3.07,LK,1691647712
107,labytnangi,66.6572,66.4183,18.97,46,11,5.14,RU,1691647712
108,nambucca heads,-30.65,153.0,22.0,52,24,4.57,AU,1691647713
109,hasaki,35.7333,140.8333,32.95,74,34,4.54,JP,1691647713
110,utrik,11.2278,169.8474,28.38,72,57,5.5,MH,1691647714
111,atafu village,-8.5421,-172.5159,27.8,80,72,6.04,TK,1691647714
112,weno,7.4515,151.8468,28.58,72,82,2.67,FM,1691647715
113,turriff,57.5384,-2.4593,17.08,78,69,0.6,GB,1691647716
114,hobyo,5.3505,48.5268,27.33,66,42,9.76,SO,1691647578
115,ilulissat,69.2167,-51.1,4.01,93,100,3.09,GL,1691647717
116,yellowknife,62.456,-114.3525,18.09,59,56,3.58,CA,1691647717
117,phalodi,27.1333,72.3667,33.12,47,48,7.65,IN,1691647717
118,ingeniero guillermo n. juarez,-23.9,-61.85,17.22,68,4,3.19,AR,1691647718
119,bethel,41.3712,-73.414,21.38,84,0,2.06,US,1691647718
120,vorgashor,67.5833,63.95,16.41,54,39,5.83,RU,1691647720
